seed,method,group_def,side,n,k,coverage,ci_lo,ci_hi,mean_width,worst_d_wstd_cov,worst_d_wstd_spread,worst_rf_std_cov,worst_rf_std_spread,dataset
71339737,global,cliffB_oracle,all,629,568,0.9030206677265501,0.8773885646126776,0.9237599583440819,2.4430956837659963,,,,,CHEMBL233_Ki
71339737,global,cliffB_oracle,cliff,30,21,0.7,0.5212421254128504,0.8333525173175619,2.443095683765996,,,,,CHEMBL233_Ki
71339737,global,cliffB_oracle,noncliff,599,547,0.9131886477462438,0.887926217047623,0.9331851925232144,2.4430956837659963,,,,,CHEMBL233_Ki
71339737,global,cliffA,all,629,568,0.9030206677265501,0.8773885646126776,0.9237599583440819,2.4430956837659963,,,,,CHEMBL233_Ki
71339737,global,cliffA,cliff,55,45,0.8181818181818182,0.6966954036336236,0.8981232956555033,2.443095683765996,,,,,CHEMBL233_Ki
71339737,global,cliffA,noncliff,574,523,0.9111498257839721,0.8850571390042522,0.9317759088758634,2.4430956837659967,,,,,CHEMBL233_Ki
71339737,global,__bins__,__summary__,-1,-1,,,,2.4430956837659963,0.8823529411764706,0.07598039215686281,0.8253968253968254,0.1428571428571429,CHEMBL233_Ki
71339737,mondrian_pair,cliffB_oracle,all,629,567,0.9014308426073132,0.8756425818358458,0.9223455919179284,2.4432946040835115,,,,,CHEMBL233_Ki
71339737,mondrian_pair,cliffB_oracle,cliff,30,20,0.6666666666666666,0.4878005164454384,0.8076950191632386,2.2751235749016003,,,,,CHEMBL233_Ki
71339737,mondrian_pair,cliffB_oracle,noncliff,599,547,0.9131886477462438,0.887926217047623,0.9331851925232144,2.45171719319112,,,,,CHEMBL233_Ki
71339737,mondrian_pair,cliffA,all,629,567,0.9014308426073132,0.8756425818358458,0.9223455919179284,2.4432946040835115,,,,,CHEMBL233_Ki
71339737,mondrian_pair,cliffA,cliff,55,43,0.7818181818181819,0.6562996597815998,0.8705397595887698,2.2609923108103014,,,,,CHEMBL233_Ki
71339737,mondrian_pair,cliffA,noncliff,574,524,0.9128919860627178,0.8869915321592676,0.9333026727033911,2.460762593857077,,,,,CHEMBL233_Ki
71339737,mondrian_pair,__bins__,__summary__,-1,-1,,,,2.4432946040835115,0.8487394957983193,0.10959383753501406,0.8333333333333334,0.13492063492063489,CHEMBL233_Ki
71339737,mondrian_wstd,cliffB_oracle,all,629,568,0.9030206677265501,0.8773885646126776,0.9237599583440819,2.4513768894741634,,,,,CHEMBL233_Ki
71339737,mondrian_wstd,cliffB_oracle,cliff,30,22,0.7333333333333333,0.555520383048111,0.8581733668040368,2.70488928972597,,,,,CHEMBL233_Ki
71339737,mondrian_wstd,cliffB_oracle,noncliff,599,546,0.9115191986644408,0.8860756060382775,0.9317181816757081,2.438680108159381,,,,,CHEMBL233_Ki
71339737,mondrian_wstd,cliffA,all,629,568,0.9030206677265501,0.8773885646126776,0.9237599583440819,2.4513768894741634,,,,,CHEMBL233_Ki
71339737,mondrian_wstd,cliffA,cliff,55,46,0.8363636363636363,0.7173625426094283,0.9114457966390772,2.6889444682537036,,,,,CHEMBL233_Ki
71339737,mondrian_wstd,cliffA,noncliff,574,522,0.9094076655052264,0.8831253595445838,0.9302465313529891,2.4286134455144506,,,,,CHEMBL233_Ki
71339737,mondrian_wstd,__bins__,__summary__,-1,-1,,,,2.4513768894741634,0.859504132231405,0.08644181371454096,0.8492063492063492,0.10317460317460314,CHEMBL233_Ki
71339737,mondrian_std,cliffB_oracle,all,629,568,0.9030206677265501,0.8773885646126776,0.9237599583440819,2.446073556515912,,,,,CHEMBL233_Ki
71339737,mondrian_std,cliffB_oracle,cliff,30,22,0.7333333333333333,0.555520383048111,0.8581733668040368,2.7043163962231964,,,,,CHEMBL233_Ki
